Date,Ticker,Adj Close,return_1d,return_5d,return_10d,return_20d,return_60d,MA5_ratio,MA10_ratio,MA20_ratio,MA50_ratio,MA200_ratio,RSI,MACD_pct,MACD_signal_pct,ATR_pct,volatility_20d,volume_change,volume_ratio
2026-08-06,KO,86.8499984741211,0.00023029647178063328,-0.018533161139558607,0.06997659767533282,0.051071056044704966,0.11124741872938904,-0.0010122212304346512,0.0019034364814107807,0.02534738299190753,0.05489311443545253,0.14642184267144165,70.84317067525198,0.01695909660363386,0.015167471378041529,0.021506710761334275,0.0184450735287702,-0.1449466241508388,0.7758294130175925
2026-08-06,PFE,26.200000762939453,0.015110472881322501,0.05178646822277533,0.0659072760073931,0.09931301869625364,0.032868699497970555,0.027773441042912905,0.03976508501534526,0.05825258717403825,0.05988268588624446,0.04861002070786968,74.96161197766537,0.012766080881630996,0.006052704309433479,0.021542389386938438,0.010838232251595201,0.08534519946534402,1.2463227628104383
2026-08-06,AAPL,312.14080810546875,0.004533755277783991,-0.06304164396767842,-0.028757088665134156,-0.012048525601547344,0.0674115559626034,0.010957073324131317,-0.03181216851458468,-0.034373801432104334,0.008633841705045997,0.12026256002535529,36.405352686271385,0.004417437712574855,0.015547891291213936,0.03124838943646303,0.023573874499707093,-0.06672694321059569,0.8192105467105936
2026-08-06,WMT,111.8023452758789,-0.002403355711962485,0.008730929035775326,0.03385605976800776,-0.0012476432893373524,-0.12163956859262737,0.004445518290802086,0.0028635643101475594,-0.00023191451087933856,-0.02333297050726313,-0.04836905220137466,43.71744650399476,-0.008754658498136354,-0.011895702075653698,0.023542325128045823,0.01333525211346509,0.08191622797405618,1.0774339324056257
2026-08-06,HD,349.5199890136719,-0.010250964163235565,0.0485075224661462,0.07640663426282668,0.031854213318521785,0.1308336729038706,0.014348051559559538,0.02557479157266962,0.03174460183274119,0.047897760126887956,0.013978292008510751,57.4757708326282,0.00828183965284382,0.004502606765758298,0.024261845827825815,0.01739707176364646,-0.16494714049165715,0.6893034943565642
2026-08-06,ORCL,143.47000122070312,-0.006371619730135336,0.12472565041247541,0.19518493940751935,-0.0017394934447300114,-0.2572785118096702,0.017056086108963697,0.09899117625490383,0.11087453089263222,-0.10770232723393613,-0.19777784433017265,64.16471983337472,-0.025699534913389256,-0.058952554368663444,0.05067262104178015,0.04439846629760431,-0.019163326120871793,0.6081319892560265
2026-08-06,UNH,403.9700012207031,-0.021271953432578705,-0.04152134184951428,-0.046250817949777256,-0.06419104875191672,0.05680272461856695,-0.016640439860343914,-0.02967399869263576,-0.040781671450250356,-0.01890167505840834,0.17895902186175783,37.45178611246145,-0.0021825807250666135,0.005658612627270021,0.02971930819283098,0.01609321016381587,-0.12717169846267828,0.8566644912532018
2026-08-06,CSCO,120.87999725341797,-0.0051029032640496075,0.06445931535924254,0.07201130687615076,0.021722591056190454,0.22905387495643348,0.014144995161555318,0.036413346603153984,0.048759307769528526,0.027804097536798578,0.34457174687283576,72.80611098979335,0.009266341825738914,0.0011596311142982923,0.030313418394496243,0.021185233560489194,-0.23926968330201914,0.6819582278318193
2026-08-06,CAT,856.9600219726562,-0.016209756670070852,0.05909979293879819,-0.042010370668463026,-0.08508213122111119,-0.073630694867716,0.00832585754104942,0.014858860868926405,-0.01843277463187254,-0.06544976252020307,0.15462637122699707,46.000366008564065,-0.02700961293013172,-0.028339185615635077,0.04883124229247671,0.028216887902480614,-0.1387666508087536,0.9205466391228349
2026-08-06,VZ,46.9900016784668,0.011190024620270522,0.019084820135909508,0.0723414423943276,0.13141673857724068,0.01187896238546271,0.0018762629748869664,0.0003619304929245448,0.04111048431301967,0.046406987864268556,0.07991945990504057,66.25239877375341,0.01759939950054099,0.012801856024075547,0.03067521901978091,0.018350315300561977,-0.386138663890896,0.8918690046063564
